topology,replication,seed,alpha,final_alignment,mean_alignment
ER,43,1942383,0.7,0.08893367452520154,0.24452859446065997
ER,43,1942383,0.9,0.06516840169895584,0.2243345170355982
ER,44,1942384,0.3,0.31577732019258875,0.38869179445544316
ER,44,1942384,0.5,0.2592418859123911,0.34340291791374356
ER,44,1942384,0.7,0.11085016244185206,0.23400632945556893
ER,44,1942384,0.9,0.05776873603612278,0.1627031110060439
ER,45,1942385,0.3,0.46063876360097716,0.5087172514743743
ER,45,1942385,0.5,0.49610602436432416,0.5429014306987613
ER,45,1942385,0.7,0.16121735801318135,0.23649534224319058
ER,45,1942385,0.9,0.12018548532160843,0.19630622016464333
ER,46,1942386,0.3,0.6327318444972668,0.6667368064081541
ER,46,1942386,0.5,0.6003516255385215,0.6316295366620833
ER,46,1942386,0.7,0.40448369844663046,0.45249154691617544
ER,46,1942386,0.9,0.3641935865499834,0.414957156327608
ER,47,1942387,0.3,0.26020928990672515,0.34226571597819583
ER,47,1942387,0.5,0.2642812747062279,0.3441887856248606
ER,47,1942387,0.7,0.14805575521189376,0.2457324392467628
ER,47,1942387,0.9,0.12600130093050493,0.22653889452037093
ER,48,1942388,0.3,0.29486093662625523,0.39516790028764714
ER,48,1942388,0.5,0.1810407598426769,0.30961478868836023
ER,48,1942388,0.7,0.09759277615850885,0.2483150792349106
ER,48,1942388,0.9,0.07364506344816883,0.2284476575338064
ER,49,1942389,0.3,0.43057838403832754,0.4982690655004347
ER,49,1942389,0.5,0.43876229573001857,0.5109008900802398
ER,49,1942389,0.7,0.2619334837093607,0.36324857950446726
ER,49,1942389,0.9,0.1990205318730333,0.3105512852186611
WS,0,1942340,0.3,0.2588423032229515,0.3991194627343399
WS,0,1942340,0.5,0.1356758410651303,0.28789758353085876
WS,0,1942340,0.7,0.0684247671836358,0.22949695970009398
WS,0,1942340,0.9,0.05290165015859486,0.21727084401408453
WS,1,1942341,0.3,0.08789966283362169,0.2786598819359005
WS,1,1942341,0.5,0.07750225908608789,0.2630524917360521
WS,1,1942341,0.7,0.05634479486906711,0.24919738218735188
WS,1,1942341,0.9,0.04449720500890078,0.24259645623664755
WS,2,1942342,0.3,0.13971658620788072,0.36902087028997876
WS,2,1942342,0.5,0.09439883934178939,0.38706668108235515
WS,2,1942342,0.7,0.07465920463023477,0.32895574790300686
WS,2,1942342,0.9,0.055189289432225626,0.31299729879703553
WS,3,1942343,0.3,0.17606520538879053,0.2659369547753065
WS,3,1942343,0.5,0.14272896126351425,0.24203924240965055
WS,3,1942343,0.7,0.09044733439425055,0.2046091810443882
WS,3,1942343,0.9,0.07366610080094432,0.19149636817589558
WS,4,1942344,0.3,0.857508164989286,0.8948315608629718
WS,4,1942344,0.5,0.6477755164446671,0.6881724137415989
WS,4,1942344,0.7,0.2975950831750742,0.3630316696605978
WS,4,1942344,0.9,0.22371625874500467,0.29310124019285916
WS,5,1942345,0.3,0.4858727202533417,0.6472912558403358
WS,5,1942345,0.5,0.3111557979565187,0.5107438294962455
WS,5,1942345,0.7,0.19864739487387284,0.4295497127049745
WS,5,1942345,0.9,0.1020831592634632,0.36735538439748316
WS,6,1942346,0.3,0.6160996867865279,0.6186551563444506
WS,6,1942346,0.5,0.40174808599054257,0.476169716895212
WS,6,1942346,0.7,0.18317405812067186,0.33626584001381027
WS,6,1942346,0.9,0.11374674733486383,0.27383330467871597
WS,7,1942347,0.3,0.33723449234553216,0.39843273814011676
WS,7,1942347,0.5,0.27683797976643026,0.34533531811575113
WS,7,1942347,0.7,0.1905251362701241,0.27363764614498093
WS,7,1942347,0.9,0.16399790456969837,0.2537379826642861
WS,8,1942348,0.3,0.34108725837033343,0.45682632486939234
WS,8,1942348,0.5,0.2757962205685655,0.40268792366138273
WS,8,1942348,0.7,0.13511133142807358,0.27504076227365487
WS,8,1942348,0.9,0.117910394527915,0.2601749045567291
WS,9,1942349,0.3,0.23331204288695453,0.3407055880031744
WS,9,1942349,0.5,0.21299283572508362,0.3184042530322807
WS,9,1942349,0.7,0.09532240325091659,0.21190220887032765
WS,9,1942349,0.9,0.07074836368205356,0.19200365249102277
WS,10,1942350,0.3,0.21662742483020134,0.3613828253457895
WS,10,1942350,0.5,0.18179130284079814,0.3414721820719615
WS,10,1942350,0.7,0.18315064691091487,0.3394145648659887
WS,10,1942350,0.9,0.17194387577827225,0.33247831667138933
WS,11,1942351,0.3,0.16389063057650646,0.2940380532988142
WS,11,1942351,0.5,0.12616005966008648,0.25738988269443713
WS,11,1942351,0.7,0.06418432769199213,0.19607372659831993
WS,11,1942351,0.9,0.03372091178611501,0.16354822500872546
WS,12,1942352,0.3,0.19168389829686297,0.3749995353467047
WS,12,1942352,0.5,0.13017194110411093,0.32060725861486783
WS,12,1942352,0.7,0.05690048998136872,0.25050940597335536
WS,12,1942352,0.9,0.014495645634975681,0.20913759542738597
WS,13,1942353,0.3,0.1537402600734009,0.25494864275119594
WS,13,1942353,0.5,0.10679423354022517,0.21695174707511708
WS,13,1942353,0.7,0.044040196623577506,0.1604216585307444
WS,13,1942353,0.9,0.03540343143744973,0.15298242470097062
WS,14,1942354,0.3,0.6611562243063772,0.7159351528317214
WS,14,1942354,0.5,0.5330864376684596,0.5942729734240755
WS,14,1942354,0.7,0.2048993586627186,0.29386611627960935
WS,14,1942354,0.9,0.16702176485233178,0.25977555560398546
WS,15,1942355,0.3,0.24310299558796536,0.37753703570578107
WS,15,1942355,0.5,0.18800678786693745,0.3333368332279336
WS,15,1942355,0.7,0.11607785129901366,0.2770126170186596
WS,15,1942355,0.9,0.04448164794643406,0.23448653963458094
WS,16,1942356,0.3,0.06566462803070496,0.24679314390403304
WS,16,1942356,0.5,0.06802902941789514,0.24476720624849438
WS,16,1942356,0.7,0.041574858966873185,0.22113346112478333
WS,16,1942356,0.9,0.03555402599909954,0.21497855943448846
WS,17,1942357,0.3,0.6088179130280211,0.646191257645157
WS,17,1942357,0.5,0.45768555476562617,0.5141545533202156
WS,17,1942357,0.7,0.2569073651422401,0.3324693322430228
WS,17,1942357,0.9,0.19847845050805873,0.28422749658843305
WS,18,1942358,0.3,0.1158407570607111,0.20767930552672165
WS,18,1942358,0.5,0.09388856019961697,0.18777248209637454
WS,18,1942358,0.7,0.06385962755041391,0.16110246323133184
WS,18,1942358,0.9,0.04222362988189087,0.14384136808188305
WS,19,1942359,0.3,0.41364858977235197,0.5229144695541647
WS,19,1942359,0.5,0.29811225990073104,0.42363569111095234
WS,19,1942359,0.7,0.1313277512727814,0.27334420183232416
WS,19,1942359,0.9,0.12158104394067357,0.26922145033811123
WS,20,1942360,0.3,0.3192929334498248,0.40852848228426714
WS,20,1942360,0.5,0.23497502352762695,0.34787652870305996
WS,20,1942360,0.7,0.1510001963330926,0.2781216590069877
WS,20,1942360,0.9,0.09963522309411636,0.23546478364711482
WS,21,1942361,0.3,0.70497118015932,0.7461671751321031
WS,21,1942361,0.5,0.5549078946821668,0.6079500432425767
WS,21,1942361,0.7,0.361615711796961,0.42539864081172674
WS,21,1942361,0.9,0.2807807360601295,0.35756837917514567
WS,22,1942362,0.3,0.2873020021258409,0.3472297730679529
WS,22,1942362,0.5,0.24993291054546024,0.3226728786878981
WS,22,1942362,0.7,0.23265484401595077,0.23786765018916578
WS,22,1942362,0.9,0.4589605453226282,0.35599733610345113
WS,23,1942363,0.3,0.35987302016770784,0.4216516581431663
WS,23,1942363,0.5,0.32569156543023325,0.3876364654827548
WS,23,1942363,0.7,0.20012529236850216,0.2784466073765059
WS,23,1942363,0.9,0.16951088485569832,0.25147419480931615
WS,24,1942364,0.3,0.3222893354200841,0.42497005898008183
WS,24,1942364,0.5,0.22176376686516092,0.33510677920138876
WS,24,1942364,0.7,0.12037154150395517,0.24087563148471158
WS,24,1942364,0.9,0.06022993365944589,0.1867704783590872
WS,25,1942365,0.3,0.7027610524600579,0.7295665985369952
WS,25,1942365,0.5,0.41482418697030615,0.46695564801160505
WS,25,1942365,0.7,0.19404411090467447,0.2714287374002046
WS,25,1942365,0.9,0.10959693861497373,0.19990990407788098
WS,26,1942366,0.3,0.46155589169133476,0.5094129571161575
