topology,beta_level,beta_a,beta_b,replication,seed,alpha,final_alignment,mean_alignment
ER,Low heterogeneity,5.0,5.0,36,1942376,0.7,0.11522990449383202,0.29159439109596613
ER,Low heterogeneity,5.0,5.0,36,1942376,0.9,0.09359605940481538,0.2746689775174095
ER,Low heterogeneity,5.0,5.0,36,1942376,1.0,0.08907187613749666,0.2719370550854524
ER,Low heterogeneity,5.0,5.0,37,1942377,0.0,0.3138387008050849,0.39040526234215456
ER,Low heterogeneity,5.0,5.0,37,1942377,0.3,0.2854915570965257,0.3633592810978831
ER,Low heterogeneity,5.0,5.0,37,1942377,0.5,0.26723480902822266,0.34513440320155336
ER,Low heterogeneity,5.0,5.0,37,1942377,0.7,0.13185858645405577,0.22353857099299324
ER,Low heterogeneity,5.0,5.0,37,1942377,0.9,0.10068588835695631,0.19477338711685266
ER,Low heterogeneity,5.0,5.0,37,1942377,1.0,0.09899110699590798,0.19271036720080148
ER,Low heterogeneity,5.0,5.0,38,1942378,0.0,0.0429372317092053,0.2126113202785366
ER,Low heterogeneity,5.0,5.0,38,1942378,0.3,0.03605462666901036,0.2100375977486483
ER,Low heterogeneity,5.0,5.0,38,1942378,0.5,0.028447916414824016,0.2204420826135329
ER,Low heterogeneity,5.0,5.0,38,1942378,0.7,0.01603384205638998,0.21053613200248977
ER,Low heterogeneity,5.0,5.0,38,1942378,0.9,0.012806167053390808,0.2066872181667169
ER,Low heterogeneity,5.0,5.0,38,1942378,1.0,0.012729009465657788,0.20667360259748221
ER,Low heterogeneity,5.0,5.0,39,1942379,0.0,0.13839464863505815,0.2353863119462621
ER,Low heterogeneity,5.0,5.0,39,1942379,0.3,0.1285651276629161,0.22774552883180732
ER,Low heterogeneity,5.0,5.0,39,1942379,0.5,0.12820387167588573,0.23056326457375878
ER,Low heterogeneity,5.0,5.0,39,1942379,0.7,0.06853214948339639,0.1787180262881362
ER,Low heterogeneity,5.0,5.0,39,1942379,0.9,0.05417900923434842,0.16690945871741342
ER,Low heterogeneity,5.0,5.0,39,1942379,1.0,0.05142085837275314,0.16492730844164327
ER,Low heterogeneity,5.0,5.0,40,1942380,0.0,0.33673845567421945,0.4563822552933657
ER,Low heterogeneity,5.0,5.0,40,1942380,0.3,0.3068184615639438,0.4334383354267921
ER,Low heterogeneity,5.0,5.0,40,1942380,0.5,0.28372822157376637,0.41438555392497445
ER,Low heterogeneity,5.0,5.0,40,1942380,0.7,0.21494211356747436,0.35388849760356483
ER,Low heterogeneity,5.0,5.0,40,1942380,0.9,0.16133286319456686,0.3040962481760485
ER,Low heterogeneity,5.0,5.0,40,1942380,1.0,0.1485206505812416,0.29307058138528935
ER,Low heterogeneity,5.0,5.0,41,1942381,0.0,0.18459976555759336,0.2869707447353503
ER,Low heterogeneity,5.0,5.0,41,1942381,0.3,0.17109373261148939,0.27387245852853426
ER,Low heterogeneity,5.0,5.0,41,1942381,0.5,0.1575074650923349,0.258617160996044
ER,Low heterogeneity,5.0,5.0,41,1942381,0.7,0.1069212128254975,0.20742160626876394
ER,Low heterogeneity,5.0,5.0,41,1942381,0.9,0.08447470099284102,0.18593692129941497
ER,Low heterogeneity,5.0,5.0,41,1942381,1.0,0.0814725034027214,0.18289531860475214
ER,Low heterogeneity,5.0,5.0,42,1942382,0.0,0.3336573366136537,0.39574988399903527
ER,Low heterogeneity,5.0,5.0,42,1942382,0.3,0.2949919122536165,0.3588453297122653
ER,Low heterogeneity,5.0,5.0,42,1942382,0.5,0.19845329174182494,0.26705717610138646
ER,Low heterogeneity,5.0,5.0,42,1942382,0.7,0.1357485492752984,0.20775396133751525
ER,Low heterogeneity,5.0,5.0,42,1942382,0.9,0.11012617996987663,0.18421674031258736
ER,Low heterogeneity,5.0,5.0,42,1942382,1.0,0.10153850448594973,0.17701665062326916
ER,Low heterogeneity,5.0,5.0,43,1942383,0.0,0.2644978633671978,0.40110074803064355
ER,Low heterogeneity,5.0,5.0,43,1942383,0.3,0.24164320454077412,0.37718722745875377
ER,Low heterogeneity,5.0,5.0,43,1942383,0.5,0.23174460082291415,0.35424992985037945
ER,Low heterogeneity,5.0,5.0,43,1942383,0.7,0.13060705569115696,0.2553050465435383
ER,Low heterogeneity,5.0,5.0,43,1942383,0.9,0.0851540339248993,0.21267671948958902
ER,Low heterogeneity,5.0,5.0,43,1942383,1.0,0.07371649615943482,0.20255242552274627
ER,Low heterogeneity,5.0,5.0,44,1942384,0.0,0.332478700216369,0.4228255836751772
